<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
^VN30_HOSE,20120309,468.30,480.20,462.20,472.50,24564720,468.30,480.20,462.20,472.50,0,0,0
^VN30_HOSE,20120308,471.30,489.10,470.00,471.30,28423440,471.30,489.10,470.00,471.30,0,0,0
^VN30_HOSE,20120307,486.00,491.60,472.20,485.90,36308730,486.00,491.60,472.20,485.90,0,0,0
^VN30_HOSE,20120306,516.60,518.40,484.40,487.80,45858720,516.60,518.40,484.40,487.80,0,0,0
^VN30_HOSE,20120305,500.10,508.20,496.30,504.50,29554760,500.10,508.20,496.30,504.50,0,0,0
^VN30_HOSE,20120302,477.80,487.20,474.40,485.90,26665530,477.80,487.20,474.40,485.90,0,0,0
^VN30_HOSE,20120301,471.10,475.40,464.20,472.10,22342000,471.10,475.40,464.20,472.10,0,0,0
^VN30_HOSE,20120229,464.00,474.80,456.00,467.40,28501670,464.00,474.80,456.00,467.40,0,0,0
^VN30_HOSE,20120228,473.30,478.40,463.20,466.50,29995430,473.30,478.40,463.20,466.50,0,0,0
^VN30_HOSE,20120227,470.70,479.60,464.40,472.20,23089780,470.70,479.60,464.40,472.20,0,0,0
^VN30_HOSE,20120224,472.30,477.70,463.50,467.50,26683350,472.30,477.70,463.50,467.50,0,0,0
^VN30_HOSE,20120223,464.50,469.90,458.00,468.30,25663390,464.50,469.90,458.00,468.30,0,0,0
^VN30_HOSE,20120222,454.90,465.50,451.50,463.10,19632000,454.90,465.50,451.50,463.10,0,0,0
^VN30_HOSE,20120221,468.50,470.10,452.50,455.40,25524870,468.50,470.10,452.50,455.40,0,0,0
^VN30_HOSE,20120220,455.40,462.00,450.60,458.80,18064580,455.40,462.00,450.60,458.80,0,0,0
^VN30_HOSE,20120217,441.30,451.20,439.10,447.10,13335610,441.30,451.20,439.10,447.10,0,0,0
^VN30_HOSE,20120216,439.10,446.00,434.10,439.70,16595430,439.10,446.00,434.10,439.70,0,0,0
^VN30_HOSE,20120215,441.50,447.60,435.10,441.00,12467930,441.50,447.60,435.10,441.00,0,0,0
^VN30_HOSE,20120214,432.80,447.60,431.50,444.20,12913010,432.80,447.60,431.50,444.20,0,0,0
^VN30_HOSE,20120213,448.70,451.30,437.60,439.40,13169260,448.70,451.30,437.60,439.40,0,0,0
^VN30_HOSE,20120210,457.20,460.10,445.60,451.80,20816360,457.20,460.10,445.60,451.80,0,0,0
^VN30_HOSE,20120209,460.80,464.80,453.90,458.90,20379320,460.80,464.80,453.90,458.90,0,0,0
^VN30_HOSE,20120208,450.10,459.30,445.80,456.10,20406280,450.10,459.30,445.80,456.10,0,0,0
^VN30_HOSE,20120207,444.10,454.50,437.20,446.70,17261070,444.10,454.50,437.20,446.70,0,0,0
^VN30_HOSE,20120206,448.00,453.70,436.50,445.30,13467070,448.00,453.70,436.50,445.30,0,0,0
